Quest URL,Content
https://zelda-archive.fandom.com/wiki/Koko_Cuisine,"Koko Cuisine is a side quest in The Legend of Zelda: Breath of the Wild. It is the third cooking side quest given by Koko in Kakariko Village which becomes available after Link completes ""Koko's Kitchen"" and ""Cooking with Koko"". Koko wants to cook a Tough Meat-Stuffed Pumpkin for her hard working father Dorian, but does have any meat to complete the recipe so she asks Link to get her some. Link can obtain any grade of raw meat for Koko to complete the quest including Raw Meat, Raw Prime Meat, or Raw Gourmet Meat. Link can obtain meat by hunting wild mammals such as foxes, boars, deer, wolves, bears, water buffalo, or mountain goats. Additionally Link can also purchase meat from the traveling butcher Mezer who travels around the Dueling Peaks in West Necluda. After giving Koko the meat she will reward Link with a Tough Meat-Stuffed Pumpkin. Additionally completing this side quest will add ""Koko's Recipe Corner"" recipe for Tough Meat-Stuffed Pumpkin to the Completed Adventure Log entry for Koko Cuisine. Completing this side quest unlocks Koko's forth and final cooking side quest, ""Koko's Specialty."
https://zelda-archive.fandom.com/wiki/Take_Back_the_Sea,"Take Back the Sea is a side quest in The Legend of Zelda: Breath of the Wild. It is given to Link by Sebasto, who can be found at Lurelin Village."
https://zelda-archive.fandom.com/wiki/EX_Treasure:_Fairy_Clothes,"""The royal family of Hyrule collected historically significant outfits, but they were stolen by a bandit named Misko. Among the items stolen were a fairy's green garments. There's a journal that places the location of the treasure somewhere in the Outpost Ruins...""
— Adventure Log
EX Treasure: Fairy Clothes is a side quest from The Legend of Zelda: Breath of the Wild. It is unlocked upon installation of the DLC Pack ""The Master Trials"". It requests Link to find and read the Misko's EX Journal at the Outpost Ruins. The quest guides Link toward the ""fairy clothes"" treasures, three new Treasure Chests containing the ""Tingle's Outfit"". The treasures containing the Tingle's Hood, Shirt and Tights are respectively buried in the middle of the Exchange Ruins, near the ruins of the Castle Town Prison, and the southeast of the Mabe Village Ruins."
https://zelda-archive.fandom.com/wiki/Hunt_for_the_Giant_Horse,"At the Mounted Archery Camp in the Faron Grasslands, Link encounters a young man named Straia who is doing an ecological survey of the area. He tells Link about a wild Giant Horse rumored to live in the Taobab Grasslands and asks him if he will bring it to him as mounted Bokoblins and two powerful Lynels make entering the grasslands where it is found extremely dangerous. Electric Keese also appear at night so its best to tame it during the morning.
Link can either choose to simply avoid these enemies and head to the grasslands, either by horse or scaling the nearby cliffs or paragliding down from the southern part of the Great Plateau which boarders the grasslands. Alternatively he can kill all these enemies which while more dangerous, makes the return trip much easier.
Link must then tame the horse by sneaking up on it from behind and mounting it as usual, though the Giant Horse is more warier forcing Link to crouch walk as slowly as possible. Link can increase his sneak ability by wearing clothing and using items granting stealth, to sneaking up behind it more efficiently. Once behind it, Link must them mount it and then soothe it to tame it before his stamina runs out. Due to its size and strength, it can easily drain two circles of stamina, though Link can use Energizing Elixir, Enduring Elixir, or any other items that boost or restore the Stamina Gauge. Link can also sleep at special Inns or eat Akkala Buns at East Akkala Stable to gain an extra yellow stamina wheel. However there are large trees near where its found allowing Link to mount it from the air which is easier than sneaking up behind it as its spooked herd mates may alert it to Link's presence. Link can also utilize a weak bow to fire Shock Arrows to stun it allowing Link to put himself into position to mount it as soon as it recovers. Ice Arrows also work though they take longer to wear off.
Once properly tamed, Link must then ride the horse back to Straia. If Link took out the all enemies, the way will be easier, however the enemies confrontation will be harder as the Giant Horse has zero Spurs and thus lacks the ability to gallop. However it is still possible to get past these enemies, Link can outride them by improving the affinity bond with the Giant Horse, making it obedient to easily escape from the Lynels and mounted Bokoblin. Link can bond with it by riding it around the Taobab Grasslands area, soothing it when it follows his commands or by simply feeding it apples and any carrots. Link can also use the Bokoblin Mask, Lynel Mask, or Majora's Mask to disguise himself though he should avoid lingering around the Lynels as they will eventually see through his disguise. Majora's Mask is ideal as it effects both Bokoblins and Lynels. Another method is to bring some bows and several Ancient Arrows. The Ancient Arrows will instantly obliterate any non-Guardians or non-bosses when hit including Lynels, though they also destroy any materials or equipment drops. However since this method involves combat, Link should rely on slow motion shooting to ensure he hits his targets. The best way to do this is by vaulting off off the Giant Horse while wielding a durable bow however alternatively Link can ride a tamed horse to the grasslands vaulting off it to slow motion shoot Ancient Arrows. Link should be careful to ensure the Blood Moon occurred recently enough to avoid slain enemies being respawned upon the return trip.
After examining it, Straia is convinced that it is a rare breed and that it is strong enough to tramp monsters. He rewards Link with a Silver Rupee and allows Link to do whatever he wants with the Giant Horse afterwards. Link is not required to register the Giant Horse during the Quest though it is a good time to do so. The best place to register it is nearby Highland Stable. Link can register it during the quest even though it effectively removes the Giant Horse from the wild though Straia is unconcerned by this despite it rendering his study redundant as the Giant Horse is the last of its kind though Straia may be unaware of this fact as it is revealed by the Sheikah Slate's Hyrule Compendium entry. It is a good idea to register it first before talking to Straia as it allows Link to keep the Giant Horse which can be revived by Malanya at Malanya Spring if it is slain or dies accidentally."
https://zelda-archive.fandom.com/wiki/Slated_for_Upgrades,"""Purah has offered to help you out in exchange for some ancient components. Just what are these ancient components? And who is Robbie? You'll have to ask Purah for the answers.""
— Adventure Log description
Slated for Upgrades is a side quest in The Legend of Zelda: Breath of the Wild. It is given to Link by Purah who can be found at Hateno Ancient Tech Lab after competing the main quest ""Locked Mementos"". After receiving it, Link select ""Something Good?"" and she will explain that if he brings her some ancient materials, she will power up Link's Runes. If Link asks Purah about Robbie, he will receive a related side quest called ""Robbie's Research"". Link can also ask her about Ancient Materials, which she reveals are components dropped by Guardians, though warns him to be careful as Guardians are dangerous, though points out that he can also collect them from broken Guardians, such as the broken Guardian pile on the hill to the west at Telta Lake. Link requires 3 Ancient Screws, 3 Ancient Shafts, and 3 Ancient Cores to obtain all three upgrades.
Contents

1 Rune Upgrades

1.1 Sheikah Sensor+
1.2 Remote Bombs+
1.3 Stasis+


2 Related Quests
Rune Upgrades[]
Sheikah Sensor+[]
In exchange for three Ancient Screws, Link can use Purah's Guidance Stone to upgrade the Sheikah Sensor by linking it to the Hyrule Compendium, allowing Link to locate things recorded in the Hyrule Compendium. Symin is interested by the upgrade and asks to see it, resulting in the ""Sunshroom Sensing"" side quest, which acts as a tutorial for the Sheikah Sensor+.
Remote Bombs+[]
In exchange for three Ancient Shafts, Link can use Purah's Guidance Stone to upgrade his Remote Bombs causing them to recharge faster and make them more powerful.
Stasis+[]
In exchange for three Ancient Cores, Link can use Purah's Guidance Stone to upgrade his Stasis Rune, allows Link to use stasis on enemies."
https://zelda-archive.fandom.com/wiki/EX_Treasure:_Phantasma,"""The royal family of Hyrule collected historically significant outfits, but they were stolen by a bandit named Misko. Among the items stolen was some phantasmal armor. There's a journal that places the location of the treasure somewhere in the Outpost Ruins...""
— Adventure Log
EX Treasure: Phantasma is a side quest from The Legend of Zelda: Breath of the Wild. It is unlocked upon installation of the DLC Pack ""The Master Trials"". It requests Link to find and read the Misko's EX Journal at the Outpost Ruins. The quest guides Link toward the ""phantasma"" treasures, three new Treasure Chests containing the ""Phantom Equipment"". The treasures containing the Phantom Helmet, Armor and Greaves are respectively buried in the northwest of the Coliseum Ruins, the southeast of the Sacred Ground Ruins, and the southeast of the Hyrule Garrison Ruins."
https://zelda-archive.fandom.com/wiki/A_Curry_for_What_Ails_You,"A Curry for What Ails You is a side quest in The Legend of Zelda: Breath of the Wild. It is given to Link by Lester, who can be found at Rito Stable."
https://zelda-archive.fandom.com/wiki/Sunken_Treasure,"Sunken Treasure is a side quest in The Legend of Zelda: Breath of the Wild. It is given to Link by Rozel, who can be found at Lurelin Village."
https://zelda-archive.fandom.com/wiki/Rushroom_Rush!,"Rushroom Rush! is a side quest in The Legend of Zelda: Breath of the Wild. It is given to Link by Pirou, who can be found at Gerudo Canyon Stable."
https://zelda-archive.fandom.com/wiki/Hobbies_of_the_Rich,"Hobbies of the Rich

Have an image for this quest?Then please upload it!


First appearance
The Legend of Zelda: Breath of the Wild (2017)


Given by
Hagie


Type
Side Quest


Location
Tarrey Town


Prerequisite(s)
None
Hobbies of the Rich is a side quest in The Legend of Zelda: Breath of the Wild. It is a quest given to Link by Hagie in Tarrey Town. The objective is to defeat the two Guardian Stalkers."
