Quest URL,Content
https://zelda-archive.fandom.com/wiki/Divine_Beast_Vah_Ruta,"Divine Beast Vah Ruta

Have an image for this quest?Then please upload it!


First appearance
The Legend of Zelda: Breath of the Wild (2017)


Given by
King Dorephan


Type
Main Quest


Location
Zora's Domain


Prerequisite(s)
""Free the Divine Beasts"" triggered


Reward(s)
Mipha's GraceLightscale Trident
Divine Beast Vah Ruta is a main quest from The Legend of Zelda: Breath of the Wild. It is given to Link by King Dorephan in Zora's Domain."
https://zelda-archive.fandom.com/wiki/Divine_Beast_Vah_Naboris,Divine Beast Vah Naboris is a main quest from The Legend of Zelda: Breath of the Wild. It is given to Link by Riju in Gerudo Town.
https://zelda-archive.fandom.com/wiki/EX_Champion_Urbosa%27s_Song,"EX Champion Urbosa's Song

Have an image for this quest?Then please upload it!


First appearance
The Legend of Zelda: Breath of the Wild (2017)


Given by
None


Type
Main Quest


Location
Vah NaborisEast Gerudo Mesa


Prerequisite(s)
Yowaka Ita ShrineRohta Chigah ShrineRuvo Korbah ShrineEtsu Korima Shrine


Reward(s)
Urbosa's Fury +
EX Champion Urbosa's Song is a main quest from The Legend of Zelda: Breath of the Wild. It is unlocked upon installation of the DLC Pack ""The Champions' Ballad"". The quest is triggered during the main quest ""EX Champions' Ballad"", Link has to go to the East Gerudo Mesa after wielding the One-Hit Obliterator in Great Plateau."
https://zelda-archive.fandom.com/wiki/The_Hero%27s_Sword,"The Hero's Sword

Have an image for this quest?Then please upload it!


First appearance
The Legend of Zelda: Breath of the Wild (2017)


Given by
Great Deku Tree


Type
Main Quest


Location
Korok Forest


Prerequisite(s)
None


Reward(s)
Master Sword
The Hero's Sword is a main quest from The Legend of Zelda: Breath of the Wild. It is a quest given to Link by the Great Deku Tree in the Korok Forest of the Great Hyrule Forest region. The purpose of this quest leads Link to succeed in taking the Master Sword once he will be sufficiently skilled."
https://zelda-archive.fandom.com/wiki/Forbidden_City_Entry,"The Isolated Plateau

Have an image for this quest?Then please upload it!


First appearance
The Legend of Zelda: Breath of the Wild (2017)


Given by
Benja


Type
Main Quest


Location
Gerudo Town


Prerequisite(s)
None


Reward(s)
Gerudo VeilGerudo SirwalGerudo Top
Forbidden City Entry is a main quest from The Legend of Zelda: Breath of the Wild. It is a quest given to Link by Benja at Gerudo Town. Link acquires a set of similar Gerudo attire worn by Vilia for 600 Rupees in order to sneak into the Gerudo Town for this quest."
https://zelda-archive.fandom.com/wiki/Destroy_Ganon,"""The ghost of King Rhoam told you that Hyrule is on the brink of annihilation.
Princess Zelda is currently fighting to contain Calamity Ganon inside Hyrule Castle, but her power cannot keep him at bay forever.
Eventually, Ganon will regain his full strength and destroy the world. Your ultimate task is to aid Princess Zelda in defeating Ganon before that can happen."""
https://zelda-archive.fandom.com/wiki/Seek_Out_Impa,"""You were tasked with going to Kakariko Village to speak with Impa, who will give you more details on your quest. Descend from the Great Plateau and head east beyond the Dueling Peaks, then follow the road to the north. The blinking dot on your Sheikah Slate's map will guide the way.""
Quest completed
""Impa, the chief of Kakariko Village, relayed the tale of what happened 100 years ago, as well as the mission entrusted to you by Princess Zelda to free the four Divine Beasts. But first, it seems that your Sheikah Slate is incomplete. Having it fixed at the Hateno Ancient Tech Lab in Hateno Village may provide more clues to your mission.""
The Legend of Zelda: Breath of the Wild


Characters


Calamity Ganon · Daruk · Hylia · Impa · Kohga · Link · Mipha · Old Man · Paya · Purah · Revali · Sheikah Monks · Urbosa · Zelda—Full list of characters


Bosses


Windblight Ganon · Fireblight Ganon · Master Kohga · Thunderblight Ganon · Waterblight Ganon · Calamity Ganon · Dark Beast Ganon · Monk Maz Koshia (DLC)


Mini-Bosses


Black Hinox · Blue Hinox · Frost Talus · Hinox · Igneo Talus · Molduga · Stalnox · Stone Talus · Igneo Talus Titan (DLC) · Molduking (DLC)


Locations


Central Hyrule · Necluda · Hebra · Eldin · Gerudo · Lanayru · Akkala · Faron—Full list of locations


Shrines


Ja Baij Shrine · Keh Namut Shrine · Oman Au Shrine · Owa Daim Shrine · Saas Ko'sah Shrine · Ta'loh Naeg Shrine · Tena Ko'sah Shrine · Shrine of Resurrection · Sword Monk's Shrine (DLC)—Full list of shrines


Dungeons


Vah Medoh · Vah Naboris · Vah Rudania · Vah Ruta · Hyrule Castle · Yiga Clan Hideout · Final Trial (DLC)


Equipment


Key Items


Sheikah Slate · Paraglider · Small Key · Spirit Orb · Korok Seeds · Bridles · Saddles · Thunder Helm · Travel Medallion (DLC) · Picture of the Champions (DLC)—Full list of items


Inventory


Weapons · Bows and Arrows · Shields · Armor · Materials · Food—List of Equipment


Runes


Remote Bomb · Magnesis · Stasis · Cryonis · Camera · amiibo · Master Cycle Zero (DLC)


Races


Deity · Demon · Dragon · Fairy · Gerudo · Goron · Hylian · Korok · Rito · Sheikah · Zora"
https://zelda-archive.fandom.com/wiki/EX_Champion_Revali%27s_Song,"EX Champion Revali's Song

Have an image for this quest?Then please upload it!


First appearance
The Legend of Zelda: Breath of the Wild (2017)


Given by
None


Type
Main Quest


Location
Vah MedohStrock Lake


Prerequisite(s)
Yowaka Ita ShrineRohta Chigah ShrineRuvo Korbah ShrineEtsu Korima Shrine


Reward(s)
Revali's Gale +
EX Champion Revali's Song is a main quest from The Legend of Zelda: Breath of the Wild. It is unlocked upon installation of the DLC Pack ""The Champions' Ballad"". The quest is triggered during the main quest ""EX Champions' Ballad"", Link has to go to the Strock Lake after wielding the One-Hit Obliterator in Great Plateau."
https://zelda-archive.fandom.com/wiki/EX_Champions%27_Ballad,"EX Champions' Ballad

Have an image for this quest?Then please upload it!


First appearance
Breath of the Wild (2017)


Given by
Princess Zelda


Type
Main Quest


Location
Great Plateau


Prerequisite(s)
Free the Divine Beasts


Reward(s)
Master Cycle ZeroPicture of the Champions
EX Champions' Ballad is a main quest from The Legend of Zelda: Breath of the Wild. It is unlocked upon installation of the DLC Pack ""The Champions' Ballad"". After freeing all the Divine Beasts, Link receives a message from Princess Zelda requesting him to return to the Shrine of Resurrection. Here he obtains the One-Hit Obliterator and is tasked with using it to defeat four groups of monsters. Defeating each group of enemies causes a Shrine to appear. Upon completing all four Shrines, the One-Hit Obliterator will burst into four different-colored orbs that soar through the sky to land relatively near the towns of each Champion.
At each of these four locations, Link meets Kass and learns more about his teacher's unfinished song about the four Champions, ""The Champions' Ballad"". The four main quests ""EX Champion Daruk's, Mipha's, Revali's and Urbosa's Songs"" are triggered at the respective locations. Each part of the song mentions three trials the respective Champion also had to overcome. Upon completing all three of a Champion's trials, Link is summoned to their respective Divine Beast. From there, he enters the Illusory Realm to fight the bosses once again with limited equipment. Defeating each boss completes the respective Champion's Song quest and rewards link with a shortened cooldown on that Champion's power.
When Link completes all four Champions' songs, he is requested to head back to the Shrine of Resurrection. As soon as the Sheikah Slate is placed back in its pedestal, the entire chamber starts to descend, bringing Link to the Final Trial. It works just like the four Divine Beast dungeons, and upon completing it and defeating the final boss Monk Maz Koshia, Link is rewarded with the Master Cycle Zero. Link encounters Kass again as he exits the Shrine of Resurrection. Kass plays the completed Champions' Ballad and gives Link the Picture of the Champions."
https://zelda-archive.fandom.com/wiki/Locked_Mementos,"Quest log[]
""According to Impa, the Sheikah Slate that Zelda left to guide you is incomplete. The director at the Hateno Ancient Tech Lab in Hateno Village may know a way to restore the Sheikah Slate's missing components. Use the map to find the location of the Hateno Ancient Tech Lab and its director.""
Heading to Hateno Village[]
After Link has finished his visit with Impa and learns that his Sheikah Slate is incomplete the way it is at this time, Link must then head out to Hateno Village to meet Purah, Impa's elder sister and the one who could aid Link in repairing the Sheikah Slate. Link must travel southeast from Kakariko Village to reach Hateno Village, and preferably activate Hateno Tower along the way with the Sheikah Slate. Then, Link must go further east to find the Hateno Ancient Tech Lab, high on top of a hill.
Reactivating the Guidance Stone[]
There are two possible variants of Link's first interaction with Purah, and they depend on if Link has or has not already bought a blue flame via torch from nearby the Zelkoa Pond to the Lab.
Before bringing the Blue Fire[]
Purah commenting on the snapshot of her taken by Link during the quest
When Link arrives and greets Purah for the first time, she will lie to Link about the ""director"" of the Lab being busy and being in the back. After talking to Symin about the Sheikah Slate missing a Rune and the name of Link's century long sleep, known as the ""Slumber of Restoration"", Symin will then point Link to the direction of Purah, whom is actually the director of the Lab. After a conversation with Purah, and Link being unable to remember her, she reveals that she cannot repair Link's Sheikah Slate quite yet because her Guidance Stone is inert due to the lack of a blue flame in the furnace outside to power it. A blue flame can be acquired from the Ancient Furnace at Hateno Village. Purah advises Link to lit the lanterns with the blue flame and to rest in the inn if it is raining. Once the furnace is inflamed, the lab's travel gate is activated.
After Link does so, then he can restore the lost Camera Rune and repair the Sheikah Slate's corrupted data and access to the Hyrule Compendium using the lab's Guidance Stone. When this data is restored, Link is then requested by Purah to take a snapshot of her. Purah then tells Link to return to Kakariko Village and to Impa to show her the restored Sheikah Slate, and the side quests ""Slated for Upgrades"" and ""Robbie's Research"" become available.
In exchange of at least three Ancient Screws, three  Ancient Shafts or three Ancient Cores, Link can upgrade the Sheikah Sensor, the Remote Bomb, or the Stasis Runes, and complete the side quest ""Slated for Upgrades"" before the journeying back to Kakariko Village. He can also take a detour to Robbie at the Akkala Ancient Tech Lab to take on ""Robbie's Research"" to help relight his lab's furnace with the blue flame and restore the power to his modified Guidance Stone Cherry which Link can use to forge Ancient Soldier gear including ancient weapons, bow, arrows, shield and the ""Ancient"" armor set in exchange for Guardian parts and Rupees.
Bringing the Blue Fire beforehand[]
If Link has the foresight of bringing the blue flame before meeting with Purah, she will at first assume that Link still has his memories intact from the Slumber of Restoration, only to find that Link has lost his memories. The events above then play out as normal.
Returning to Impa[]
When Link returns to Impa, and depending on whether or not Link has found a spot that helps Link to remember events from a century before, she will give Link the Champion's Tunic and this quest will be considered complete."
